winning_hero_id_1,winning_hero_id_2,winning_hero_id_3,winning_hero_id_4,winning_hero_id_5
7,87,93,104,110
34,55,72,107,112
7,30,43,61,72
7,11,34,86,96
21,26,73,87,106
4,27,29,42,99
7,34,68,94,99
11,26,62,71,106
7,41,78,86,96
46,62,87,104,106
3,39,44,57,88
17,20,39,99,101
2,21,47,71,83
31,51,53,63,86
8,26,30,47,97
41,43,50,64,110
18,51,63,74,88
18,23,25,57,76
20,35,81,84,88
2,21,26,83,110
3,29,48,50,74
16,17,57,82,87
7,36,45,53,86
15,68,86,89,96
26,28,34,50,98
12,15,27,36,60
3,9,17,31,98
17,18,77,96,101
7,36,42,47,68
7,62,67,102,106
1,32,51,87,98
26,35,71,74,83
8,16,35,86,90
21,48,86,92,98
11,25,47,85,89
38,84,93,101,106
9,10,65,79,87
10,16,17,71,101
9,17,50,68,98
7,11,71,72,75
28,40,53,58,76
8,13,30,62,80
3,29,43,103,109
9,17,53,89,92
65,70,84,87,89
23,51,73,79,88
20,30,39,41,47
17,28,48,55,79
5,9,27,85,89
21,46,89,96,102
11,13,20,33,82
19,51,74,87,91
5,9,40,45,69
13,53,63,83,87
1,7,27,43,57
1,16,26,35,65
39,50,62,80,93
27,41,64,74,92
2,39,50,69,83
1,20,33,76,107
29,39,68,77,86
2,55,68,69,83
10,20,36,78,110
12,52,61,66,112
5,16,19,30,48
17,18,21,91,98
7,43,69,93,101
1,21,39,65,86
47,71,91,98,103
1,65,86,96,101
5,16,17,54,88
26,40,55,56,106
18,39,52,80,92
3,9,68,69,83
62,72,91,92,101
8,31,47,69,87
20,50,57,60,95
2,21,31,55,71
7,15,33,49,50
8,9,28,84,86
7,20,46,64,96
11,45,52,53,84
5,28,54,74,97
21,50,59,85,100
13,27,33,47,77
5,31,55,89,92
39,46,60,62,69
12,34,62,88,90
46,50,60,92,98
16,31,64,70,99
12,52,71,105,112
11,20,65,71,93
5,40,46,96,98
20,30,39,104,107
7,9,21,27,41
9,41,47,79,101
11,14,28,63,91
11,41,66,88,112
39,40,51,67,112
15,27,29,41,75
17,21,27,78,92
9,11,20,29,68
7,21,22,40,71
39,51,62,82,90
17,26,53,54,60
9,49,64,69,83
17,20,28,30,103
5,26,41,69,74
17,30,50,53,77
7,20,34,60,112
65,68,77,86,93
5,16,52,59,108
9,29,49,60,68
5,49,66,93,99
38,39,68,95,107
11,26,39,71,112
16,27,71,74,113
2,55,66,87,110
20,26,63,75,98
30,39,41,55,64
76,78,85,86,112
21,54,68,79,99
9,37,42,43,79
9,42,69,101,106
15,39,50,72,112
37,51,55,74,95
7,8,21,86,98
14,42,48,75,96
27,34,53,63,68
30,42,46,54,65
27,51,58,96,99
4,16,25,27,55
